Team,League,Year,Games,W,RS,RA,OBP,SLG,BA,OPS,OOBP,OSLG,OOPS,Playoffs,RankSeason,RankPlayoffs
WSN,NL,2006,162,71,746,872,0.338,0.418,0.262,0.756,0.349,0.447,0.796,0,,
ARI,NL,2005,162,77,696,856,0.332,0.421,0.256,0.753,0.345,0.455,0.8,0,,
ATL,NL,2005,162,90,769,674,0.333,0.435,0.265,0.768,0.333,0.406,0.739,1,4,4
BAL,AL,2005,162,74,729,800,0.327,0.434,0.269,0.761,0.336,0.416,0.752,0,,
BOS,AL,2005,162,95,910,805,0.357,0.454,0.281,0.811,0.335,0.441,0.776,1,3,4
CHC,NL,2005,162,79,703,714,0.324,0.44,0.27,0.764,0.325,0.407,0.732,0,,
CHW,AL,2005,162,99,741,645,0.322,0.425,0.262,0.747,0.31,0.397,0.707,1,2,1
CIN,NL,2005,163,73,820,889,0.339,0.446,0.261,0.785,0.352,0.483,0.835,0,,
CLE,AL,2005,162,93,790,642,0.334,0.453,0.271,0.787,0.302,0.387,0.689,0,,
COL,NL,2005,162,67,740,862,0.333,0.411,0.267,0.744,0.362,0.457,0.819,0,,
DET,AL,2005,162,71,723,787,0.321,0.428,0.272,0.749,0.33,0.436,0.766,0,,
FLA,NL,2005,162,83,717,732,0.339,0.409,0.272,0.748,0.339,0.402,0.741,0,,
HOU,NL,2005,163,89,693,609,0.322,0.408,0.256,0.73,0.308,0.389,0.697,1,5,2
KCR,AL,2005,162,56,701,935,0.32,0.396,0.263,0.716,0.362,0.463,0.825,0,,
LAA,AL,2005,162,95,761,643,0.325,0.409,0.27,0.734,0.312,0.401,0.713,1,3,3
LAD,NL,2005,162,71,685,755,0.326,0.395,0.253,0.721,0.327,0.429,0.756,0,,
MIL,NL,2005,162,81,726,697,0.331,0.423,0.259,0.754,0.324,0.408,0.732,0,,
MIN,AL,2005,162,83,688,662,0.323,0.391,0.259,0.714,0.307,0.408,0.715,0,,
NYM,NL,2005,162,83,722,648,0.322,0.416,0.258,0.738,0.321,0.387,0.708,0,,
NYY,AL,2005,162,95,886,789,0.355,0.45,0.276,0.805,0.332,0.422,0.754,1,3,4
OAK,AL,2005,162,88,772,658,0.33,0.407,0.262,0.737,0.311,0.382,0.693,0,,
PHI,NL,2005,162,88,807,726,0.348,0.423,0.27,0.771,0.32,0.426,0.746,0,,
PIT,NL,2005,162,67,680,769,0.322,0.4,0.259,0.722,0.344,0.424,0.768,0,,
SDP,NL,2005,162,82,684,726,0.333,0.391,0.257,0.724,0.322,0.408,0.73,1,6,4
SEA,AL,2005,162,69,699,751,0.317,0.391,0.256,0.708,0.332,0.422,0.754,0,,
SFG,NL,2005,162,75,649,745,0.319,0.396,0.261,0.715,0.336,0.412,0.748,0,,
STL,NL,2005,162,100,805,634,0.339,0.423,0.27,0.762,0.318,0.398,0.716,1,1,3
TBD,AL,2005,162,67,750,936,0.329,0.425,0.274,0.754,0.355,0.455,0.81,0,,
TEX,AL,2005,162,79,865,858,0.329,0.468,0.267,0.797,0.343,0.428,0.771,0,,
TOR,AL,2005,162,80,775,705,0.331,0.407,0.265,0.738,0.324,0.418,0.742,0,,
WSN,NL,2005,162,81,639,673,0.322,0.386,0.252,0.708,0.333,0.396,0.729,0,,
ANA,AL,2004,162,92,836,734,0.341,0.429,0.282,0.77,0.326,0.415,0.741,1,6,4
ARI,NL,2004,162,51,615,899,0.31,0.393,0.253,0.703,0.35,0.439,0.789,0,,
ATL,NL,2004,162,96,803,668,0.343,0.434,0.27,0.777,0.329,0.4,0.729,1,4,4
BAL,AL,2004,162,78,842,830,0.345,0.432,0.281,0.777,0.348,0.404,0.752,0,,
BOS,AL,2004,162,98,949,768,0.36,0.472,0.282,0.832,0.318,0.408,0.726,1,3,1
CHC,NL,2004,162,89,789,665,0.328,0.458,0.268,0.786,0.321,0.395,0.716,0,,
CHW,AL,2004,162,83,865,831,0.333,0.457,0.268,0.79,0.338,0.453,0.791,0,,
CIN,NL,2004,162,76,750,907,0.331,0.418,0.25,0.749,0.348,0.481,0.829,0,,
CLE,AL,2004,162,80,858,857,0.351,0.444,0.276,0.795,0.342,0.445,0.787,0,,
COL,NL,2004,162,68,833,923,0.345,0.455,0.275,0.8,0.372,0.471,0.843,0,,
DET,AL,2004,162,72,827,844,0.337,0.449,0.272,0.786,0.34,0.441,0.781,0,,
FLA,NL,2004,162,83,718,700,0.329,0.406,0.264,0.735,0.324,0.412,0.736,0,,
HOU,NL,2004,162,92,803,698,0.342,0.436,0.267,0.778,0.328,0.417,0.745,1,6,3
KCR,AL,2004,162,58,720,905,0.322,0.397,0.259,0.719,0.352,0.476,0.828,0,,
LAD,NL,2004,162,93,761,684,0.332,0.423,0.262,0.755,0.323,0.408,0.731,1,5,4
MIL,NL,2004,161,67,634,757,0.321,0.387,0.248,0.708,0.32,0.417,0.737,0,,
MIN,AL,2004,162,92,780,715,0.332,0.431,0.266,0.763,0.323,0.406,0.729,1,6,4
MON,NL,2004,162,67,635,769,0.313,0.392,0.249,0.705,0.342,0.431,0.773,0,,
NYM,NL,2004,162,71,684,731,0.317,0.409,0.249,0.726,0.335,0.405,0.74,0,,
NYY,AL,2004,162,101,897,808,0.353,0.458,0.268,0.811,0.328,0.432,0.76,1,2,3
OAK,AL,2004,162,91,793,742,0.343,0.433,0.27,0.776,0.332,0.409,0.741,0,,
PHI,NL,2004,162,86,840,781,0.345,0.443,0.267,0.788,0.33,0.448,0.778,0,,
PIT,NL,2004,161,72,680,744,0.321,0.401,0.26,0.722,0.342,0.416,0.758,0,,
SDP,NL,2004,162,87,768,705,0.342,0.414,0.273,0.756,0.318,0.431,0.749,0,,
SEA,AL,2004,162,63,698,823,0.331,0.396,0.27,0.727,0.338,0.441,0.779,0,,
SFG,NL,2004,162,91,850,770,0.357,0.438,0.27,0.795,0.332,0.423,0.755,0,,
STL,NL,2004,162,105,855,659,0.344,0.46,0.278,0.804,0.313,0.403,0.716,1,1,2
TBD,AL,2004,161,70,714,842,0.32,0.405,0.258,0.725,0.342,0.438,0.78,0,,
TEX,AL,2004,162,89,860,794,0.329,0.457,0.266,0.786,0.344,0.432,0.776,0,,
TOR,AL,2004,161,67,719,823,0.328,0.403,0.26,0.731,0.348,0.434,0.782,0,,
ANA,AL,2003,162,77,736,743,0.33,0.413,0.268,0.743,0.327,0.421,0.748,0,,
ARI,NL,2003,162,84,717,685,0.33,0.417,0.263,0.747,0.322,0.388,0.71,0,,
ATL,NL,2003,162,101,907,740,0.349,0.475,0.284,0.824,0.327,0.401,0.728,1,1,4
BAL,AL,2003,163,71,743,820,0.323,0.405,0.268,0.728,0.346,0.446,0.792,0,,
BOS,AL,2003,162,95,961,809,0.36,0.491,0.289,0.851,0.327,0.415,0.742,1,4,3
CHC,NL,2003,162,88,724,683,0.323,0.416,0.259,0.739,0.324,0.372,0.696,1,7,3
CHW,AL,2003,162,86,791,715,0.331,0.446,0.263,0.777,0.322,0.404,0.726,0,,
CIN,NL,2003,162,69,694,886,0.318,0.395,0.245,0.713,0.349,0.463,0.812,0,,
CLE,AL,2003,162,68,699,778,0.316,0.401,0.254,0.717,0.329,0.426,0.755,0,,
COL,NL,2003,162,74,853,892,0.344,0.445,0.267,0.789,0.359,0.47,0.829,0,,
DET,AL,2003,162,43,591,928,0.3,0.375,0.24,0.675,0.352,0.461,0.813,0,,
FLA,NL,2003,162,91,751,692,0.333,0.421,0.266,0.754,0.325,0.396,0.721,1,5,1
HOU,NL,2003,162,87,805,677,0.336,0.431,0.263,0.767,0.326,0.397,0.723,0,,
KCR,AL,2003,162,83,836,867,0.336,0.427,0.274,0.763,0.348,0.45,0.798,0,,
LAD,NL,2003,162,85,574,556,0.303,0.368,0.243,0.671,0.306,0.354,0.66,0,,
MIL,NL,2003,162,68,714,873,0.329,0.419,0.256,0.748,0.348,0.462,0.81,0,,
MIN,AL,2003,162,90,801,758,0.341,0.431,0.277,0.772,0.319,0.428,0.747,1,6,4
MON,NL,2003,162,83,711,716,0.326,0.401,0.258,0.727,0.327,0.423,0.75,0,,
NYM,NL,2003,161,66,642,754,0.314,0.374,0.247,0.688,0.345,0.438,0.783,0,,
NYY,AL,2003,163,101,877,716,0.356,0.453,0.271,0.809,0.314,0.407,0.721,1,1,2
OAK,AL,2003,162,96,768,643,0.327,0.417,0.254,0.744,0.314,0.376,0.69,1,3,4
PHI,NL,2003,162,86,791,697,0.343,0.419,0.261,0.762,0.327,0.401,0.728,0,,
PIT,NL,2003,162,75,753,801,0.338,0.42,0.267,0.758,0.336,0.431,0.767,0,,
SDP,NL,2003,162,64,678,831,0.333,0.388,0.261,0.721,0.341,0.437,0.778,0,,
SEA,AL,2003,162,93,795,637,0.344,0.41,0.271,0.754,0.311,0.388,0.699,0,,
SFG,NL,2003,161,100,755,638,0.338,0.425,0.264,0.763,0.321,0.386,0.707,1,2,4
STL,NL,2003,162,85,876,796,0.35,0.454,0.279,0.804,0.336,0.452,0.788,0,,
TBD,AL,2003,162,63,715,852,0.32,0.404,0.265,0.724,0.347,0.44,0.787,0,,
TEX,AL,2003,162,71,826,969,0.33,0.454,0.266,0.784,0.36,0.473,0.833,0,,
TOR,AL,2003,162,86,894,826,0.349,0.455,0.279,0.804,0.337,0.441,0.778,0,,
ANA,AL,2002,162,99,851,644,0.341,0.433,0.282,0.774,0.314,0.392,0.706,1,3,1
ARI,NL,2002,162,98,819,674,0.346,0.423,0.267,0.769,0.305,0.397,0.702,1,4,4
ATL,NL,2002,161,101,708,565,0.331,0.409,0.26,0.74,0.313,0.364,0.677,1,2,4
BAL,AL,2002,162,67,667,773,0.309,0.403,0.246,0.712,0.336,0.435,0.771,0,,
BOS,AL,2002,162,93,859,665,0.345,0.444,0.277,0.789,0.308,0.385,0.693,0,,
CHC,NL,2002,162,67,706,759,0.321,0.413,0.246,0.734,0.331,0.407,0.738,0,,
CHW,AL,2002,162,81,856,798,0.338,0.449,0.268,0.787,0.33,0.423,0.753,0,,
CIN,NL,2002,162,78,709,774,0.33,0.408,0.253,0.738,0.338,0.426,0.764,0,,
CLE,AL,2002,162,74,739,837,0.321,0.412,0.249,0.733,0.348,0.423,0.771,0,,
COL,NL,2002,162,73,778,898,0.337,0.423,0.274,0.76,0.349,0.466,0.815,0,,
DET,AL,2002,161,55,575,864,0.3,0.379,0.248,0.679,0.343,0.455,0.798,0,,
FLA,NL,2002,162,79,699,763,0.337,0.403,0.261,0.74,0.341,0.415,0.756,0,,
HOU,NL,2002,162,84,749,695,0.338,0.417,0.262,0.755,0.33,0.41,0.74,0,,
KCR,AL,2002,162,62,737,891,0.323,0.398,0.256,0.721,0.349,0.464,0.813,0,,
LAD,NL,2002,162,92,713,643,0.32,0.409,0.264,0.729,0.315,0.387,0.702,0,,
MIL,NL,2002,162,56,627,821,0.32,0.39,0.253,0.71,0.352,0.442,0.794,0,,
MIN,AL,2002,161,94,768,712,0.332,0.437,0.272,0.769,0.318,0.421,0.739,1,7,3
MON,NL,2002,162,83,735,718,0.334,0.418,0.261,0.752,0.329,0.421,0.75,0,,
NYM,NL,2002,161,75,690,703,0.322,0.395,0.256,0.717,0.327,0.403,0.73,0,,
NYY,AL,2002,161,103,897,697,0.354,0.455,0.275,0.809,0.309,0.395,0.704,1,1,4
OAK,AL,2002,162,103,800,654,0.339,0.432,0.261,0.771,0.315,0.384,0.699,1,1,4
PHI,NL,2002,161,80,710,724,0.339,0.422,0.259,0.761,0.328,0.401,0.729,0,,
PIT,NL,2002,161,72,641,730,0.319,0.381,0.244,0.7,0.342,0.423,0.765,0,,
SDP,NL,2002,162,66,662,815,0.321,0.381,0.253,0.702,0.346,0.442,0.788,0,,
SEA,AL,2002,162,93,814,699,0.35,0.419,0.275,0.769,0.315,0.41,0.725,0,,
SFG,NL,2002,162,95,783,616,0.344,0.442,0.267,0.786,0.319,0.372,0.691,1,6,2
STL,NL,2002,162,97,787,648,0.338,0.425,0.268,0.763,0.323,0.386,0.709,1,5,3
TBD,AL,2002,161,55,673,918,0.314,0.39,0.253,0.704,0.357,0.463,0.82,0,,
TEX,AL,2002,162,72,843,882,0.338,0.455,0.269,0.793,0.355,0.451,0.806,0,,
TOR,AL,2002,162,78,813,828,0.327,0.43,0.261,0.757,0.344,0.431,0.775,0,,
ANA,AL,2001,162,75,691,730,0.327,0.405,0.261,0.732,0.331,0.412,0.743,0,,
ARI,NL,2001,162,92,818,677,0.341,0.442,0.267,0.783,0.311,0.404,0.715,1,5,1
ATL,NL,2001,162,88,729,643,0.324,0.412,0.26,0.736,0.314,0.384,0.698,1,7,3
BAL,AL,2001,162,63,687,829,0.319,0.38,0.248,0.699,0.337,0.439,0.776,0,,
BOS,AL,2001,161,82,772,745,0.334,0.439,0.266,0.773,0.329,0.393,0.722,0,,
CHC,NL,2001,162,88,777,701,0.336,0.43,0.261,0.766,0.321,0.398,0.719,0,,
CHW,AL,2001,162,83,798,795,0.334,0.451,0.268,0.785,0.334,0.427,0.761,0,,
CIN,NL,2001,162,66,735,850,0.324,0.419,0.262,0.743,0.341,0.455,0.796,0,,
CLE,AL,2001,162,91,897,821,0.35,0.458,0.278,0.808,0.341,0.417,0.758,1,6,4
COL,NL,2001,162,73,923,906,0.354,0.483,0.292,0.837,0.35,0.48,0.83,0,,
DET,AL,2001,162,66,724,876,0.32,0.409,0.26,0.729,0.357,0.461,0.818,0,,
FLA,NL,2001,162,76,742,744,0.326,0.423,0.264,0.749,0.338,0.411,0.749,0,,
HOU,NL,2001,162,93,847,769,0.347,0.451,0.271,0.798,0.325,0.437,0.762,1,4,4
KCR,AL,2001,162,65,729,858,0.318,0.409,0.266,0.727,0.348,0.45,0.798,0,,
LAD,NL,2001,162,86,758,744,0.323,0.425,0.255,0.748,0.323,0.411,0.734,0,,
MIL,NL,2001,162,68,740,806,0.319,0.426,0.251,0.745,0.35,0.44,0.79,0,,
MIN,AL,2001,162,85,771,766,0.337,0.433,0.272,0.77,0.325,0.437,0.762,0,,
MON,NL,2001,162,68,670,812,0.319,0.396,0.253,0.715,0.339,0.441,0.78,0,,
NYM,NL,2001,162,82,642,713,0.323,0.387,0.249,0.71,0.314,0.419,0.733,0,,
NYY,AL,2001,161,95,804,713,0.334,0.435,0.267,0.769,0.318,0.398,0.716,1,3,2
OAK,AL,2001,162,102,884,645,0.345,0.439,0.264,0.784,0.308,0.38,0.688,1,2,4
PHI,NL,2001,162,86,746,719,0.329,0.414,0.26,0.743,0.329,0.424,0.753,0,,
PIT,NL,2001,162,62,657,858,0.313,0.393,0.247,0.706,0.344,0.433,0.777,0,,
SDP,NL,2001,162,79,789,812,0.336,0.399,0.252,0.735,0.33,0.45,0.78,0,,
SEA,AL,2001,162,116,927,627,0.36,0.445,0.288,0.805,0.301,0.378,0.679,1,1,3
SFG,NL,2001,162,90,799,748,0.342,0.46,0.266,0.802,0.329,0.404,0.733,0,,
STL,NL,2001,162,93,814,684,0.339,0.441,0.27,0.78,0.328,0.428,0.756,1,4,4
TBD,AL,2001,162,62,672,887,0.32,0.388,0.258,0.708,0.345,0.452,0.797,0,,
TEX,AL,2001,162,73,890,968,0.344,0.471,0.275,0.815,0.362,0.494,0.856,0,,
TOR,AL,2001,162,80,767,753,0.325,0.43,0.263,0.755,0.339,0.435,0.774,0,,
ANA,AL,2000,162,82,864,869,0.352,0.472,0.28,0.824,0.351,0.453,0.804,0,,
ARI,NL,2000,162,85,792,754,0.333,0.429,0.265,0.762,0.326,0.424,0.75,0,,
ATL,NL,2000,162,95,810,714,0.346,0.429,0.271,0.775,0.319,0.402,0.721,1,2,4
BAL,AL,2000,162,74,794,913,0.341,0.435,0.272,0.776,0.352,0.449,0.801,0,,
BOS,AL,2000,162,85,792,745,0.341,0.423,0.267,0.764,0.322,0.411,0.733,0,,
CHC,NL,2000,162,65,764,904,0.335,0.411,0.256,0.746,0.348,0.452,0.8,0,,
CHW,AL,2000,162,95,978,839,0.356,0.47,0.286,0.826,0.346,0.434,0.78,1,2,4
CIN,NL,2000,163,85,825,765,0.343,0.447,0.274,0.79,0.341,0.438,0.779,0,,
CLE,AL,2000,162,90,950,816,0.367,0.47,0.288,0.837,0.35,0.425,0.775,0,,
COL,NL,2000,162,82,968,897,0.362,0.455,0.294,0.817,0.354,0.471,0.825,0,,
DET,AL,2000,162,79,823,827,0.343,0.438,0.275,0.781,0.34,0.443,0.783,0,,
FLA,NL,2000,161,79,731,797,0.331,0.409,0.262,0.74,0.348,0.429,0.777,0,,
HOU,NL,2000,162,72,938,944,0.361,0.477,0.278,0.838,0.353,0.476,0.829,0,,
KCR,AL,2000,162,77,879,930,0.348,0.425,0.288,0.773,0.362,0.474,0.836,0,,
LAD,NL,2000,162,86,798,729,0.341,0.431,0.257,0.772,0.332,0.407,0.739,0,,
MIL,NL,2000,163,73,740,826,0.325,0.403,0.246,0.728,0.357,0.42,0.777,0,,
MIN,AL,2000,162,69,748,880,0.337,0.407,0.27,0.744,0.347,0.466,0.813,0,,
MON,NL,2000,162,67,738,902,0.326,0.432,0.266,0.758,0.353,0.449,0.802,0,,
NYM,NL,2000,162,94,807,738,0.346,0.43,0.263,0.776,0.327,0.403,0.73,1,3,2
NYY,AL,2000,161,87,871,814,0.354,0.45,0.277,0.804,0.336,0.422,0.758,1,5,1
OAK,AL,2000,161,91,947,813,0.36,0.458,0.27,0.818,0.348,0.423,0.771,1,4,4
PHI,NL,2000,162,65,708,830,0.329,0.4,0.251,0.729,0.343,0.448,0.791,0,,
PIT,NL,2000,162,69,793,888,0.339,0.424,0.267,0.763,0.361,0.432,0.793,0,,
SDP,NL,2000,162,76,752,815,0.33,0.402,0.254,0.732,0.34,0.416,0.756,0,,
SEA,AL,2000,162,91,907,780,0.361,0.442,0.269,0.803,0.339,0.416,0.755,1,4,3
SFG,NL,2000,162,97,925,747,0.362,0.472,0.278,0.834,0.342,0.412,0.754,1,1,4
STL,NL,2000,162,95,887,771,0.356,0.455,0.27,0.811,0.338,0.434,0.772,1,2,3
TBD,AL,2000,161,69,733,842,0.329,0.399,0.257,0.728,0.345,0.451,0.796,0,,
TEX,AL,2000,162,71,848,974,0.352,0.446,0.283,0.798,0.369,0.475,0.844,0,,
TOR,AL,2000,162,83,861,908,0.341,0.469,0.275,0.81,0.354,0.456,0.81,0,,
ANA,AL,1999,162,70,711,826,0.322,0.395,0.256,0.717,0.346,0.427,0.773,0,,
ARI,NL,1999,162,100,908,676,0.347,0.459,0.277,0.806,0.32,0.402,0.722,1,2,4
ATL,NL,1999,162,103,840,661,0.341,0.436,0.266,0.777,0.314,0.377,0.691,1,1,2
BAL,AL,1999,162,78,851,815,0.353,0.447,0.279,0.8,0.35,0.441,0.791,0,,
BOS,AL,1999,162,94,836,718,0.35,0.448,0.278,0.798,0.315,0.398,0.713,1,6,3
CHC,NL,1999,162,67,747,920,0.329,0.42,0.257,0.749,0.346,0.467,0.813,0,,
CHW,AL,1999,162,75,777,870,0.337,0.429,0.277,0.766,0.353,0.447,0.8,0,,
CIN,NL,1999,163,96,865,711,0.341,0.451,0.272,0.792,0.324,0.411,0.735,0,,
CLE,AL,1999,162,97,1009,860,0.373,0.467,0.289,0.84,0.347,0.439,0.786,1,4,4
COL,NL,1999,162,72,906,1028,0.348,0.472,0.288,0.82,0.384,0.499,0.883,0,,
DET,AL,1999,161,69,747,882,0.326,0.443,0.261,0.769,0.349,0.451,0.8,0,,
FLA,NL,1999,162,64,691,852,0.325,0.395,0.263,0.72,0.359,0.44,0.799,0,,
HOU,NL,1999,162,97,823,675,0.355,0.42,0.267,0.775,0.326,0.397,0.723,1,4,4
KCR,AL,1999,161,64,856,921,0.348,0.433,0.282,0.781,0.365,0.454,0.819,0,,
LAD,NL,1999,162,77,793,787,0.339,0.42,0.266,0.759,0.336,0.422,0.758,0,,
MIL,NL,1999,161,74,815,886,0.353,0.426,0.273,0.779,0.356,0.457,0.813,0,,
MIN,AL,1999,161,63,686,845,0.328,0.384,0.264,0.712,0.342,0.465,0.807,0,,
MON,NL,1999,162,68,718,853,0.323,0.427,0.265,0.75,0.342,0.418,0.76,0,,
NYM,NL,1999,163,97,853,711,0.363,0.434,0.279,0.797,0.331,0.418,0.749,1,4,3
NYY,AL,1999,162,98,900,731,0.366,0.453,0.282,0.819,0.329,0.4,0.729,1,3,1
OAK,AL,1999,162,87,893,846,0.355,0.446,0.259,0.801,0.344,0.428,0.772,0,,
PHI,NL,1999,162,77,841,846,0.351,0.431,0.275,0.782,0.347,0.447,0.794,0,,
PIT,NL,1999,161,78,775,782,0.334,0.419,0.259,0.753,0.343,0.42,0.763,0,,
SDP,NL,1999,162,74,710,781,0.332,0.393,0.252,0.725,0.333,0.43,0.763,0,,
SEA,AL,1999,162,79,859,905,0.343,0.455,0.269,0.798,0.368,0.454,0.822,0,,
SFG,NL,1999,162,86,872,831,0.356,0.434,0.271,0.79,0.345,0.423,0.768,0,,
STL,NL,1999,161,75,809,838,0.338,0.426,0.262,0.764,0.355,0.427,0.782,0,,
TBD,AL,1999,162,69,772,913,0.343,0.411,0.274,0.754,0.371,0.448,0.819,0,,
TEX,AL,1999,162,95,945,859,0.361,0.479,0.293,0.84,0.346,0.459,0.805,1,5,4
TOR,AL,1999,162,84,883,862,0.352,0.457,0.28,0.809,0.353,0.456,0.809,0,,
